lo,hi,n,mean,std,sharpe,win_rate
0.56,0.58,142,-0.058402924852668195,0.8744533513302275,-0.06678792500917866,0.5422535211267606
0.7,0.9,466,-0.036967068387944155,0.5493709944658297,-0.06728980736212398,0.7618025751072961
0.74,1.0,752,-0.024420931330380414,0.36151576108437306,-0.06755149832784438,0.6196808510638298
0.82,0.88,97,-0.029840997120969208,0.4361943020604503,-0.06841216627546334,0.8350515463917526
0.7,0.8,307,-0.04112840920681856,0.5961791812121179,-0.06898665787557123,0.7263843648208469
0.54,1.0,1608,-0.04366752550621382,0.6319687710499009,-0.06909760024006913,0.6050995024875622
0.68,0.74,193,-0.04548914463913777,0.648427652189617,-0.07015299931384723,0.689119170984456
0.68,0.98,683,-0.036504084641655964,0.5109843713631322,-0.07143874976895184,0.7935578330893118
0.76,1.0,687,-0.024081091028217788,0.33277247755611017,-0.07236503212365984,0.6084425036390102
0.7,0.88,447,-0.040819782594516366,0.5582106833199472,-0.07312612211529436,0.7539149888143176
0.54,0.98,1346,-0.05052431318606476,0.6899875734468093,-0.07322496104338849,0.6805349182763745
0.72,0.92,432,-0.038493749274044524,0.5248257788425251,-0.0733457669684984,0.7777777777777778
0.74,0.98,490,-0.03296507121407638,0.4453032461020454,-0.07402836494599037,0.8346938775510204
0.54,0.76,921,-0.05827760203866036,0.7837058730398571,-0.07436157370189381,0.6026058631921825
0.7,0.82,350,-0.04386247456861372,0.5875229966715076,-0.07465660887677192,0.7314285714285714
0.54,0.74,856,-0.06057574842703942,0.7967555518090064,-0.07602802175586257,0.5922897196261683
0.78,0.94,275,-0.03361028289702154,0.4417503254037898,-0.07608434213670236,0.8327272727272728
0.72,0.9,407,-0.04078071854375517,0.5355680399137898,-0.07614479488044065,0.769041769041769
0.54,0.96,1284,-0.05383658270049599,0.7062800187700334,-0.07622554973911179,0.6651090342679128
0.7,0.86,413,-0.04437505232203128,0.5708175714442321,-0.07773946448382353,0.7433414043583535
0.54,0.68,663,-0.06496747471823855,0.8349458522133456,-0.07781040476579078,0.5641025641025641
0.68,0.96,621,-0.04195287672986267,0.5355773056810756,-0.07833206576315367,0.7729468599033816
0.54,0.94,1251,-0.05637848958897028,0.7153582720916781,-0.07881154351388417,0.6562749800159872
0.76,0.98,425,-0.03372248016667523,0.4199682809781121,-0.08029768364442927,0.8494117647058823
0.54,0.78,976,-0.06279371176139435,0.7750835578156723,-0.08101540940741739,0.6065573770491803
0.56,0.62,326,-0.0688920833686151,0.848493720086507,-0.08119339216982219,0.5521472392638037
0.54,0.92,1219,-0.0595165056430296,0.7244205173096987,-0.0821573992189754,0.6472518457752255
0.7,0.84,384,-0.047916741455334644,0.5812658517353075,-0.08243515649901727,0.734375
0.72,0.8,248,-0.04837709760088575,0.5861099438872801,-0.08253928824348623,0.7298387096774194
0.54,0.9,1194,-0.06073624216061491,0.7306483221347616,-0.08312650603666569,0.6415410385259631
0.72,0.88,388,-0.045406034531637086,0.5452892830220704,-0.08326962576632796,0.7603092783505154
0.74,0.96,428,-0.040358251247409174,0.4760074347489845,-0.08478491784207426,0.8107476635514018
0.56,0.64,416,-0.07075888785834322,0.8339947217752275,-0.08484332815407634,0.5600961538461539
0.68,0.94,588,-0.04669397064219333,0.5500143425467344,-0.08489591457921984,0.7602040816326531
0.54,0.88,1175,-0.0625862656091413,0.735694990345691,-0.08507094166800434,0.6365957446808511
0.54,0.8,1035,-0.065622068499986,0.7650060565290375,-0.08577980257793576,0.6125603864734299
0.8,0.88,140,-0.04014300852325371,0.46420317384900284,-0.08647723838336256,0.8142857142857143
0.54,0.82,1078,-0.0655327322541809,0.7567851683694864,-0.08659357370252498,0.6187384044526901
0.54,0.86,1141,-0.06452174923750319,0.7437559882916961,-0.08675123327168183,0.6292725679228747
0.54,0.72,787,-0.0710563160005919,0.8131904206417311,-0.08737967663775188,0.5756035578144854
